id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39971294,Cozy flat with chimney,21565256,Tanja,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50168,13.41573,Entire home/apt,50,1,2,2019-12-02,0.06,1,0,0,
11934470,Bright Studio Apartment / 4th fl/ long term,62819516,Carla & Daniel,Neukölln,Reuterstraße,52.49226,13.42937,Entire home/apt,43,30,5,2022-03-29,0.07,2,271,3,
17580693,"Gemütliches, Zentrales Zimmer mit Blick ins Grüne",119416956,Sven,Mitte,Parkviertel,52.56151,13.35515,Private room,42,2,31,2022-03-07,0.50,1,10,4,
579471587567149993,Süßes Altbau-Apartment in Schöneberg,9916942,Kirsten,Tempelhof - Schöneberg,Friedenau,52.477266442905986,13.336424344175285,Entire home/apt,52,92,0,,,1,362,0,
17497917,BERLIN MITTE - hotspot - central & calm,5937313,Hyun-Jung,Mitte,Alexanderplatz,52.52438,13.41012,Entire home/apt,106,2,116,2022-05-29,1.84,1,6,25,
9924899,"Charming room in Kreuzberg, Graefekiez",4289187,Ka,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49087,13.41712,Private room,39,3,7,2019-09-20,0.09,2,0,0,
37167219,"Schöne, helle Wohnung im Herzen Kreuzbergs",12533725,Arne,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49781,13.43814,Private room,80,3,4,2021-10-22,0.36,1,278,4,
1514701,Charming apt in Iconic Krzbrg Bldg.,7148967,Matthew,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49884,13.41807,Entire home/apt,43,2,7,2016-01-02,0.07,1,43,0,
1599410,Citynahe gepflegte Ferienwohnung,8526412,Gert,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48889,13.39046,Entire home/apt,68,30,69,2018-09-11,0.65,1,214,0,
398011,2-room miracle in P-berg + balcony,1968246,Sabine,Pankow,Prenzlauer Berg Ost,52.53645,13.44103,Entire home/apt,65,180,34,2016-04-25,0.28,3,12,0,
23134815,Cozy Home,34692810,Eva,Mitte,Osloer Straße,52.55316,13.38765,Entire home/apt,30,2,0,,,1,0,0,
27572024,Quiet peaceful room in Schoneberg,3017491,Miranda,Tempelhof - Schöneberg,Schöneberg-Süd,52.48401,13.35507,Private room,35,6,0,,,1,0,0,
37143203,Perfekte Lage im Szenekiez Kreuzberg/Schöneberg!,20338370,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.49508,13.36195,Entire home/apt,75,3,12,2022-02-14,0.34,1,0,11,
40855650,Am Humboldthain,99988493,Marion,Mitte,Brunnenstr. Nord,52.5464,13.38001,Private room,45,2,6,2022-05-25,3.05,1,0,6,
45707053,Familienwohnung in Pankow am Rande beliebten Pberg,8214640,Milou,Pankow,Pankow Zentrum,52.57247,13.41276,Entire home/apt,90,3,0,,,1,0,0,
549885670737543278,Sonniges Zimmer mit direktem Badzugang,440775092,Benno,Treptow - Köpenick,Niederschöneweide,52.45282,13.51773,Private room,66,2,4,2022-03-13,0.94,1,165,4,"First name and Last name: Benjamin Thömel <br/> Contact address: Fennstr. 5, 12439, Berlin, Deutschland <br/>Listing address: Fennstr. 5, 12439, Berlin, Deutschland"
14712454,Idyllisches Apartment am Berliner Stadtrand,9957116,Anne & Hanns,Marzahn - Hellersdorf,Mahlsdorf,52.53443,13.65312,Entire home/apt,72,3,219,2022-05-29,3.12,1,202,24,
29453151,Last Minute - Ap. “Nest” Kurfürstendamm Berlin,15145288,Agnes,Charlottenburg-Wilm.,Halensee,52.49728,13.2865,Entire home/apt,143,4,86,2022-01-03,1.95,2,68,1,04/Z/ZA/007300-18
229363,Excl. Studio B Mitte/Hansaviertel,1195177,Annika,Mitte,Moabit Ost,52.52265,13.3419,Entire home/apt,95,5,72,2021-10-16,0.62,2,224,9,01/Z/NA/004722-16
53199782,Schöne helle und sonnige Altbauwohnung in Mitte,233643072,Kurt,Mitte,Moabit Ost,52.52313,13.34871,Entire home/apt,240,3,0,,,1,199,0,01/Z/RA/013439-21
26379731,CosyBig appartment 15min's to Alexanderplatz/fhain,197915619,Jakob,Pankow,Weißensee,52.54868,13.4649,Shared room,100,3,1,2018-08-27,0.02,1,74,0,
32214669,Seven Olives Apartment with Patio,87442687,Babett,Mitte,Moabit Ost,52.53508,13.35074,Entire home/apt,87,1,117,2022-06-12,2.90,22,246,59,"Legal entity name and Legal form: Berlinlofts UG haftungsbeschränkt  <br/>Legal representatives or Trade register number: HRB119127 <br/> Entity address: Stephanstr. 60, 10559, Berlin, Deutschland <br/>Listing address: Stephanstr. 60, 10559, Berlin, Deutschland "
34356661,Luxury Designer Loft Penthouse near Kudamm,206374835,Marcel,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.49165,13.33541,Entire home/apt,233,180,1,2020-01-08,0.03,3,63,0,04/Z/RA/008943-19
53657632,"Große 2,5 Zi Wohnung nahe Schloß Charlottenburg",33821824,Alexandra,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51916,13.31599,Entire home/apt,70,92,0,,,3,257,0,
1827536,BestPlace 3 Cozy Room in PrenzlBerg,4293723,Alla,Pankow,Helmholtzplatz,52.54584,13.41458,Entire home/apt,119,3,152,2020-09-27,1.46,2,290,0,
10384926,Spacious flat in Berlin,32245189,Patrick,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51552,13.46392,Entire home/apt,48,15,0,,,1,0,0,
10521477,Gemütliche Hütte in Berlin,10882737,Amin,Neukölln,Rudow,52.43849,13.48405,Entire home/apt,23,2,0,,,1,0,0,
